Date,timeRange1,timeRange2,timeRange3,Physical,Telephone,bar associatif, Doc. Associatives, infos touristiques,docs  infos  santé,activités  Pôle Santé,Activités  Pôle Culture,Autres activités,événements hors pôles,Activités des associations,Autres
27/06/2019,,1,,11,5,,11,3,,,,,,,
27/06/2019,,,1,12,4,2,5,1,,,2,5,,,1
28/06/2019,,1,,8,4,4,,2,,1,,1,2,,2
28/06/2019,,,1,28,4,2,3,,,1,,5,3,6,
29/06/2019,,,,,,,,,,,,,,,
29/06/2019,,,,,,,,,,,,,,,
29/06/2019,,,,,,,,,,,,,,,
30/06/2019,,,,,,,,,,,,,,,
01/07/2019,,1,,16,11,,12,,3,1,,3,,6,1
01/07/2019,,,1,20,2,1,1,,1,2,,12,,3,2
02/07/2019,,1,,10,9,,19,,,,,,2,3,
02/07/2019,,,1,41,1,4,8,,,,,,2,29,3
03/07/2019,,1,,28,5,,,,1,,,11,,18,3
03/07/2019,,,1,31,,2,,,,1,,,,24,4
04/07/2019,,1,,18,3,,11,,,,,,,10,
04/07/2019,,,1,17,2,2,3,1,,,,4,,6,3
05/07/2019,,1,,11,3,,8,2,,,,2,,2,
05/07/2019,,,1,75,2,,,,,,1,32,,42,
06/07/2019,1,,,11,2,,2,,2,,,4,,4,1
06/07/2019,,1,,8,3,6,1,,,,,2,,1,
06/07/2019,,,1,8,,2,3,,,,1,,2,,
07/07/2019,,,,,,,,,,,,,,,
08/07/2019,,1,,28,7,4,14,1,2,,,2,,9,3
08/07/2019,,,1,35,,7,3,,,,1,20,,20,3
09/07/2019,,1,,20,,,4,1,2,,,,,5,8
09/07/2019,,,1,25,4,,4,,,1,,1,6,15,1
10/07/2019,,1,,8,1,4,5,1,1,2,,,,,
10/07/2019,,,1,10,6,,,1,,,,5,,10,
11/07/2019,,1,,4,3,,3,,,,,,,4,
11/07/2019,,,1,27,1,1,3,,1,,,8,,5,1
12/07/2019,,1,,13,5,2,8,,3,,,2,,3,
12/07/2019,,,1,51,3,,1,,,1,29,1,,3,
13/07/2019,1,,,100,,,,,,,,,,100,
13/07/2019,,1,,22,1,7,5,1,2,,,,,8,
13/07/2019,,,1,8,,3,,2,,,3,,,,
14/07/2019,,,,,,,,,,,,,,,
15/07/2019,,1,,34,6,3,12,,,,1,7,5,7,3
15/07/2019,,,1,17,1,3,4,,,,,,,11,
16/07/2019,,1,,7,6,1,,,,,,1,,6,
16/07/2019,,,1,16,,,2,,,1,3,3,,6,1
17/07/2019,,1,,40,3,11,9,2,1,,,2,,19,
17/07/2019,,,1,11,1,2,4,,,,1,2,,3,
18/07/2019,,1,,11,2,,8,3,1,,,1,,,
18/07/2019,,,1,10,,1,4,,,,,,,5,
19/07/2019,,1,,4,6,,6,,,,,3,,1,
19/07/2019,,,1,60,4,,7,,,,1,2,,54,
20/07/2019,1,,,18,2,,,,,,,,,20,
20/07/2019,,1,,10,,4,2,,1,,,,,3,
20/07/2019,,,1,13,3,4,6,,1,,2,3,,,
21/07/2019,,,,,,,,,,,,,,,
22/07/2019,,1,,20,4,6,5,1,,,,6,,6,
22/07/2019,,,1,20,,,,,,,,6,14,,
23/07/2019,,1,,14,2,2,4,,,,,1,,6,4
23/07/2019,,,1,18,2,1,1,,,,,2,,16,
24/07/2019,,1,,13,4,2,2,1,,,,4,,6,
24/07/2019,,,1,8,2,,1,4,,,2,2,,1,
25/07/2019,,1,,10,6,,,,,,,1,,15,
25/07/2019,,,1,6,2,,4,,,,1,3,,,
26/07/2019,,1,,11,,2,2,,,,,1,,6,1
26/07/2019,,,1,47,,,,,,,,,,47,
27/07/2019,1,,,30,,,,,,,,22,8,,
27/07/2019,,1,,1,,,,,,,,,,,1
27/07/2019,,,1,9,2,1,5,,,3,,1,,,
28/07/2019,,,,,,,,,,,,,,,
29/07/2019,,1,,14,5,2,8,,,,2,3,,3,
29/07/2019,,,1,25,1,2,,,2,,,22,,,
30/07/2019,,1,,13,4,,,,,,,,,17,
30/07/2019,,,1,13,1,2,3,,2,,2,1,,5,
31/07/2019,,1,,16,3,1,3,,,,,3,,12,
31/07/2019,,,1,12,1,,2,,3,,,4,,4,
01/08/2019,,1,,14,2,2,2,,,1,1,8,4,3,
01/08/2019,,,1,13,2,1,2,,3,,,5,,4,
02/08/2019,,,,,,,,,,,,,,,
02/08/2019,,,,,,,,,,,,,,,
03/08/2019,1,,,14,,4,1,2,3,1,,,,3,
03/08/2019,,1,,18,4,5,7,1,1,2,,2,,4,
03/08/2019,,,1,8,,,3,,2,,3,,,,
04/08/2019,,,,,,,,,,,,,,,
05/08/2019,,,,,,,,,,,,,,,
05/08/2019,,,,,,,,,,,,,,,
06/08/2019,,1,,13,7,,12,,,,7,,,,
06/08/2019,,,1,3,1,,1,,,,,,,3,
07/08/2019,,,,,,,,,,,,,,,
07/08/2019,,,,,,,,,,,,,,,
08/08/2019,,1,,12,14,1,,,,4,,7,,14,
08/08/2019,,,1,8,1,,5,,,,,,,2,2
09/08/2019,,,,,,,,,,,,,,,
09/08/2019,,,,,,,,,,,,,,,
10/08/2019,1,,,11,,,,,,,,,,11,
10/08/2019,,1,,17,2,6,6,,,,,2,,5,
10/08/2019,,,1,12,1,,1,,1,4,6,1,,,
11/08/2019,,,,,,,,,,,,,,,
12/08/2019,,,,,,,,,,,,,,,
12/08/2019,,,,,,,,,,,,,,,
13/08/2019,,1,,15,5,,13,2,1,,1,2,,1,
13/08/2019,,,1,11,1,1,2,1,,,,3,,5,
14/08/2019,,,,,,,,,,,,,,,
14/08/2019,,,,,,,,,,,,,,,
15/08/2019,,,,,,,,,,,,,,,
15/08/2019,,,,,,,,,,,,,,,
16/08/2019,,,,,,,,,,,,,,,
16/08/2019,,,,,,,,,,,,,,,
17/08/2019,1,,,12,1,,,,,,,3,2,8,
17/08/2019,,1,,16,2,7,3,,2,,,2,,4,
17/08/2019,,,1,11,1,1,1,,4,,3,,,3,
18/08/2019,,,,,,,,,,,,,,,
19/08/2019,,,,,,,,,,,,,,,
19/08/2019,,,,,,,,,,,,,,,
20/08/2019,,1,,8,3,,10,,,,,,,3,
20/08/2019,,,1,10,,,2,,,,7,,,1,
21/08/2019,,,,,,,,,,,,,,,
21/08/2019,,,,,,,,,,,,,,,
22/08/2019,,1,,9,5,,3,1,,,,,,8,
22/08/2019,,,1,14,3,2,2,,,,3,7,,3,
23/08/2019,,,,,,,,,,,,,,,
23/08/2019,,,,,,,,,,,,,,,
24/08/2019,1,,,7,,,5,,,,,1,,1,
24/08/2019,,1,,14,2,1,,1,2,1,2,,,8,1
24/08/2019,,,1,7,2,,1,,,1,2,,,5,
25/08/2019,,,,,,,,,,,,,,,
26/08/2019,,,,,,,,,,,,,,,
26/08/2019,,,,,,,,,,,,,,,
27/08/2019,,1,,10,5,,7,,1,,,2,,3,
27/08/2019,,,1,16,4,4,,,,,6,1,1,6,1
28/08/2019,,,,,,,,,,,,,,,
28/08/2019,,,,,,,,,,,,,,,
29/08/2019,,1,,16,3,4,3,,,,,2,,10,2
29/08/2019,,,1,13,1,,2,1,1,,2,1,1,6,
30/08/2019,,,,,,,,,,,,,,,
30/08/2019,,,,,,,,,,,,,,,
31/08/2019,1,,,8,1,5,1,,,1,,2,,,
31/08/2019,,1,,4,5,,1,,3,1,1,10,,,
31/08/2019,,,1,14,4,,3,2,,,1,7,,3,2
02/09/2019,,,,,,,,,,,,,,,
02/09/2019,,,1,31,,1,,,2,,,24,,4,
03/09/2019,,1,,7,5,3,6,,,2,,,,3,1
03/09/2019,,,1,24,5,5,8,,3,,,1,1,11,
04/09/2019,,1,,16,2,,2,,1,,2,,,17,1
04/09/2019,,,1,18,3,,4,,1,,2,12,,1,
05/09/2019,,1,,12,7,12,12,4,2,,,,,,
05/09/2019,,,1,17,4,1,4,,,,,6,,7,3
06/09/2019,,1,,6,6,2,7,,,,,1,1,,1
06/09/2019,,,1,73,1,3,5,,,,,13,,53,
07/09/2019,1,,,12,2,4,4,,,,,6,,,
07/09/2019,,1,,7,3,,6,,,,,4,,,
07/09/2019,,,1,18,,,1,1,1,,2,4,,5,
08/09/2019,,,,,,,,,,,,,,,
09/09/2019,,1,,16,10,2,,2,,,,1,,14,
09/09/2019,,,1,61,1,,3,1,1,,,45,1,9,
10/09/2019,,1,,12,1,6,1,,1,,1,1,,3,
10/09/2019,,,1,16,3,,1,,,,9,6,,3,
11/09/2019,,1,,44,9,8,4,,,,1,34,,6,
11/09/2019,,,1,16,,2,1,,1,,1,6,5,,
12/09/2019,,1,,12,6,1,7,,1,,,,,6,
12/09/2019,,,1,20,5,,7,,,,,9,,10,
13/09/2019,,1,,10,8,,10,,1,,1,2,,3,1
13/09/2019,,,1,17,1,,3,,,,,13,,2,
14/09/2019,1,,,17,3,,,1,,,,,,19,
14/09/2019,,1,,2,5,,2,1,,,,3,,1,
14/09/2019,,,1,16,2,3,9,3,,,,1,2,,
15/09/2019,,,,,,,,,,,,,,,
16/09/2019,,1,,22,3,,,1,,,2,4,,16,
16/09/2019,,,1,27,,,,,2,,,20,,5,
17/09/2019,,1,,20,,1,3,4,1,1,,,,9,1
17/09/2019,,,1,92,,,4,,,,,4,,84,
18/09/2019,,1,,35,8,2,,,,4,,4,,34,
18/09/2019,,,1,21,1,1,8,,2,,,5,2,3,
19/09/2019,,1,,5,2,5,1,,,,,,,5,
19/09/2019,,,1,24,1,2,3,,,,,7,,9,
20/09/2019,,1,,15,3,3,5,,,,,4,,6,
20/09/2019,,,1,99,3,,2,,2,,3,22,,73,
21/09/2019,,,,,,,,,,,,,,,
21/09/2019,,,,,,,,,,,,,,,
21/09/2019,,,,,,,,,,,,,,,
22/09/2019,,,,,,,,,,,,,,,
23/09/2019,,1,,32,4,7,7,1,,,1,9,,10,2
23/09/2019,,,1,24,1,1,2,,1,,,4,2,14,
24/09/2019,,1,,16,2,,4,2,,,,2,,12,
24/09/2019,,,1,12,4,,,,,,3,1,,12,
25/09/2019,,1,,29,3,,4,,3,,1,10,,13,
25/09/2019,,,1,24,2,1,6,2,,,,,4,19,
26/09/2019,,1,,23,3,7,2,,2,,,8,,7,
26/09/2019,,,1,40,,1,6,,1,1,,12,,19,
27/09/2019,,1,,25,5,5,5,,,,8,4,,14,
27/09/2019,,,1,22,2,,,,,,,17,,2,5
28/09/2019,1,,,8,2,,,,,4,,,,6,
28/09/2019,,1,,6,,,2,,,,,,1,3,
28/09/2019,,,1,7,,1,1,,,2,3,,,,
29/09/2019,,,,,,,,,,,,,,,
30/09/2019,,1,,38,9,3,4,,2,2,2,12,1,14,
30/09/2019,,,1,37,3,3,1,,,,,23,13,,
01/10/2019,,1,,7,5,,4,,,,,,,5,
01/10/2019,,,1,9,,,,,1,,3,4,,,
02/10/2019,,1,,39,8,8,4,1,2,,2,9,,21,
02/10/2019,,,1,28,1,,,,,1,2,1,,25,
03/10/2019,,1,,13,19,1,9,,,,,6,8,10,
03/10/2019,,,1,39,,2,1,,,,18,14,,4,
04/10/2019,,1,,20,5,7,7,,,,1,3,,,
04/10/2019,,,1,78,5,2,9,,,,2,66,,4,
05/10/2019,1,,,27,3,6,1,,1,,,7,4,9,
05/10/2019,,1,,26,5,,2,,,,,5,,24,
05/10/2019,,,1,21,,3,6,,4,3,1,,,2,
06/10/2019,,,,,,,,,,,,,,,
07/10/2019,,1,,31,13,5,7,,3,1,,18,,9,1
07/10/2019,,,1,19,1,,3,1,,,,24,2,10,
08/10/2019,,1,,11,11,3,7,7,1,1,3,,,,1
08/10/2019,,,1,19,8,,5,,,,3,,1,18,
09/10/2019,,1,,28,3,7,7,,2,1,,1,,10,
09/10/2019,,,1,16,2,,2,,1,,,11,,1,2
10/10/2019,,1,,12,2,,5,4,1,2,,,,2,
10/10/2019,,,1,20,3,3,5,,2,2,1,5,,1,
11/10/2019,,1,,14,4,1,7,,2,,,4,,4,
11/10/2019,,,1,22,1,1,2,,,,,1,17,2,
12/10/2019,1,,,106,3,1,3,,1,,,1,1,100,1
12/10/2019,,1,,31,,,1,1,,1,1,19,,7,
12/10/2019,,,1,18,2,7,3,,1,,,,,10,
13/10/2019,,,,,,,,,,,,,,,
14/10/2019,,1,,15,5,2,1,3,3,,,9,,2,
14/10/2019,,,1,37,3,3,6,,,,,27,,24,
15/10/2019,,1,,12,5,,10,,2,1,,,,2,2
15/10/2019,,,1,40,,,,1,,,4,6,,29,
16/10/2019,,1,,50,3,2,7,,,1,,28,,13,
16/10/2019,,,1,30,3,,,,,1,,13,,18,
17/10/2019,,1,,10,4,,11,,,,1,2,,,
17/10/2019,,,1,25,1,,3,1,,,,,13,8,1
18/10/2019,,1,,25,3,14,6,2,1,,3,,,,2
18/10/2019,,,1,77,1,2,2,,1,,,12,,61,
19/10/2019,1,,,25,1,1,1,,,,,1,,21,1
19/10/2019,,1,,17,3,,1,1,,1,,,1,16,
19/10/2019,,,1,35,1,4,9,,,3,1,,,19,
20/10/2019,,,,,,,,,,,,,,,
21/10/2019,,1,,19,7,1,1,,,,,1,2,14,
21/10/2019,,,1,15,,,1,,,1,11,,,,2
22/10/2019,,1,,28,3,4,6,,1,,,19,,1,
22/10/2019,,,1,22,,2,4,,2,,2,,,11,1
23/10/2019,,1,,32,3,4,4,,2,1,,11,,10,1
23/10/2019,,,1,18,1,3,,,,,,17,,7,
24/10/2019,,1,,5,6,,3,,1,,1,1,,5,
24/10/2019,,,1,28,1,1,,,,,1,8,5,14,
25/10/2019,,1,,21,,11,5,,1,,,,,3,1
25/10/2019,,,1,45,1,,6,,2,,2,36,,,
26/10/2019,1,,,39,,,2,,,,2,1,,34,
26/10/2019,,1,,9,3,1,1,,,,,2,,8,
26/10/2019,,,1,8,2,,1,1,,,2,,1,5,
27/10/2019,,,,,,,,,,,,,,,
28/10/2019,,1,,47,7,6,10,,3,2,15,19,,18,
28/10/2019,,,1,18,2,2,4,,,,,26,,5,
29/10/2019,,1,,14,4,,12,1,1,,,,,,
29/10/2019,,,1,18,1,3,2,,,,,3,,10,
30/10/2019,,1,,31,7,,3,1,,,,,,34,
30/10/2019,,,1,21,,,3,1,1,,,9,6,,1
31/10/2019,,1,,17,,,12,,,1,,1,,2,
31/10/2019,,,1,18,3,2,1,1,1,,3,5,,8,
01/11/2019,,,,,,,,,,,,,,,
01/11/2019,,,,,,,,,,,,,,,
02/11/2019,1,,,4,3,,,,1,,1,,,5,
02/11/2019,,1,,6,4,1,3,,,,1,4,,1,
02/11/2019,,,1,7,,1,2,2,,,1,1,,,1
03/11/2019,,,,,,,,,,,,,,,
04/11/2019,,1,,27,5,7,5,,,,3,17,,13,
04/11/2019,,,1,50,3,4,3,,,3,3,39,,,
05/11/2019,,1,,9,8,,,4,,,1,6,,,1
05/11/2019,,,1,33,4,,,,2,,,12,1,23,
06/11/2019,,1,,40,9,1,1,,1,,,2,,44,
06/11/2019,,,1,78,2,,4,,,,,2,42,32,
07/11/2019,,1,,12,3,,10,1,,1,2,,1,1,3
07/11/2019,,,1,37,1,3,,,,,,33,,2,
08/11/2019,,1,,29,2,19,6,,2,,,,,3,2
08/11/2019,,,1,53,1,1,4,,1,,,9,,39,
09/11/2019,1,,,115,,,1,,,,,,,114,
09/11/2019,,1,,12,3,,8,6,,,,1,,2,
09/11/2019,,,1,121,3,1,1,,1,,6,5,103,,
10/11/2019,,,,,,,,,,,,,,,
11/11/2019,,1,,63,2,5,,,2,,,3,,52,
11/11/2019,,,1,38,2,3,5,,,,,27,,5,
12/11/2019,,1,,15,,,11,2,,,1,2,,,
12/11/2019,,,1,14,3,,,3,,,2,,,12,
13/11/2019,,1,,46,7,7,10,,2,,,18,,17,
13/11/2019,,,1,20,2,,,,,,,17,,5,
14/11/2019,,1,,7,10,,8,,2,,,3,,5,
14/11/2019,,,1,16,1,,,,,,,9,,7,1
15/11/2019,,1,,18,7,3,1,3,1,1,3,6,,5,
15/11/2019,,,1,76,,1,,,,,,2,,73,
16/11/2019,1,,,37,,1,2,,,,,,,34,
16/11/2019,,1,,22,,,5,,1,,,,14,,2
16/11/2019,,,1,16,,3,4,,,,1,,,8,
17/11/2019,,,,,,,,,,,,,,,
18/11/2019,,1,,41,8,5,5,,,,,19,,10,
18/11/2019,,,1,50,3,,5,,,1,1,36,,10,
19/11/2019,,1,,7,8,,7,,,2,4,,,2,1
19/11/2019,,,1,36,,2,2,,,,7,,,25,
20/11/2019,,1,,44,5,2,2,,,,2,5,5,33,
20/11/2019,,,1,22,1,2,1,,,1,2,,4,13,
21/11/2019,,1,,11,2,,10,,1,1,1,,,1,
21/11/2019,,,1,37,1,,,,,,,4,,34,
22/11/2019,,1,,18,3,4,9,,,,,4,,4,
22/11/2019,,,1,100,6,,,,,,2,50,,54,
23/11/2019,1,,,10,,1,,,,,,,7,2,
23/11/2019,,1,,28,1,,4,,1,,,,3,21,
23/11/2019,,,1,12,,4,3,,,1,,,,4,
24/11/2019,,,,,,,,,,,,,,,
25/11/2019,,1,,41,5,2,6,2,,,5,25,,10,
25/11/2019,,,1,50,3,1,1,,,3,,28,,20,
26/11/2019,,1,,11,8,,7,,2,2,2,,1,,3
26/11/2019,,,1,21,2,1,1,,1,,2,1,,16,
27/11/2019,,1,,34,3,2,4,,1,1,1,4,,22,
27/11/2019,,,1,19,3,,3,,,,1,6,,9,3
28/11/2019,,1,,11,5,,6,1,,6,1,1,,1,
28/11/2019,,,1,23,1,,,,,,,7,5,12,
29/11/2019,,1,,11,1,7,2,,,,,2,,1,
29/11/2019,,,1,27,1,1,,,,,4,17,,6,
30/11/2019,1,,,13,4,,3,,1,,,3,,10,
30/11/2019,,1,,14,4,5,9,,,,,2,,2,
30/11/2019,,,1,11,,5,,,1,,1,,,4,
01/12/2019,,,,,,,,,,,,,,,
02/12/2019,,1,,15,4,,,,1,,,3,,10,
02/12/2019,,,1,53,1,,2,,,1,1,34,,13,2
03/12/2019,,1,,9,6,,3,4,2,,2,,,5,
03/12/2019,,,1,13,1,,2,3,,2,4,3,,2,
04/12/2019,,1,,22,4,1,2,,1,,,19,,3,
04/12/2019,,,1,15,1,1,2,,,,,,,12,1
05/12/2019,,1,,3,6,,2,1,,,,5,,,
05/12/2019,,,1,15,4,2,,,2,1,,1,,13,
06/12/2019,,1,,3,6,,2,1,,,,5,,,
06/12/2019,,,1,3,6,,2,1,,,,5,,,
07/12/2019,1,,,15,4,2,,,2,1,,1,,13,
07/12/2019,,1,,6,1,,2,1,,,,,,3,
07/12/2019,,,1,8,,1,3,1,,,,,,3,
08/12/2019,,,,,,,,,,,,,,,
09/12/2019,,1,,16,8,1,,1,,,,2,,13,1
09/12/2019,,,1,33,1,,1,,,,10,18,,7,
10/12/2019,,1,,14,4,,2,,,,,10,4,1,1
10/12/2019,,,1,32,,,,,,,32,,,8,
11/12/2019,,1,,15,2,5,2,,1,,,2,1,5,
11/12/2019,,,1,14,1,,1,,1,1,1,11,,,
12/12/2019,,1,,5,6,,6,,3,,1,,,1,
12/12/2019,,,1,8,2,2,,,,,,8,,,
13/12/2019,,1,,17,4,7,2,,,,2,3,,7,
13/12/2019,,,1,3,,,,,,,,,,3,
14/12/2019,1,,,11,1,,,,,,,2,,10,
14/12/2019,,1,,23,1,5,7,,,,,,,12,
14/12/2019,,,1,6,,2,,,,,,,,4,
15/12/2019,,,,,,,,,,,,,,,
16/12/2019,,1,,15,6,2,,,,,1,5,,9,
16/12/2019,,,1,13,4,2,2,,,3,1,2,,5,
17/12/2019,,1,,10,5,,2,,,1,1,7,1,2,
17/12/2019,,,1,16,4,2,1,,,1,5,,,10,
18/12/2019,,1,,33,5,4,3,,,,1,26,1,2,
18/12/2019,,,1,16,4,,1,,2,1,,5,1,10,
19/12/2019,,1,,11,2,5,6,1,3,,,,,1,
19/12/2019,,,1,4,1,,2,,,,1,,,2,
20/12/2019,,1,,15,7,5,9,,1,,,6,,1,
20/12/2019,,,1,13,1,,1,1,2,,,5,,5,
21/12/2019,1,,,10,,,,,,,,,,10,
21/12/2019,,1,,7,4,3,2,,,,,,,6,
21/12/2019,,,1,9,,2,,2,,,,2,,3,
22/12/2019,,,,,,,,,,,,,,,
23/12/2019,,1,,14,,,,,,,,1,,9,
23/12/2019,,,1,2,,,,,,,1,,,1,
24/12/2019,,1,,11,3,2,1,1,2,,1,5,,3,
24/12/2019,,,,,,,,,,,,,,,
25/12/2019,,,,,,,,,,,,,,,
25/12/2019,,,,,,,,,,,,,,,
26/12/2019,,1,,11,4,1,4,1,5,,,2,,2,
26/12/2019,,,,,,,,,,,,,,,
27/12/2019,,1,,14,2,6,5,,1,,1,2,,1,
27/12/2019,,,1,3,,,1,,1,,,1,,1,
28/12/2019,,,,,,,,,,,,,,,
28/12/2019,,1,,13,1,,,2,6,,,2,,4,
28/12/2019,,,1,11,1,6,4,,,,,,,2,
29/12/2019,,,,,,,,,,,,,,,
30/12/2019,,,,,,,,,,,,,,,
30/12/2019,,,1,25,2,,,,,,1,18,,8,
31/12/2019,,1,,8,2,3,,1,2,,2,,,3,
31/12/2019,,,,,,,,,,,,,,,